사업명,사업대분류,사업세부분류,자치구,면적,위치,용도지역(기존),용도지역(변경),용적률,건폐율,층수(지상/지하),높이,공급세대,분양,임대,임대비율,유형,권역,추진단계,추진일시,자료기준일,시 담당부서,시 연락처,구 담당부서,구 연락처
목2동232 일대,정비사업,신속통합기획,양천구,"21,161 ㎡",목동 232 일대,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2024.06.24,2025.05.31,서울특별시 신속통합기획과,2133-8343,양천구 도시계획과,2620-3512
목동 6단지,정비사업,신속통합기획,양천구,"102,424 ㎡",목동 911,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2023.08.30,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3459
목동10단지,정비사업,신속통합기획,양천구,"194,686 ㎡",신정동 311,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.01.31,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3459
목동11단지,정비사업,신속통합기획,양천구,"128,668 ㎡",신정동 325 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.11.01,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3458
목동12단지,정비사업,신속통합기획,양천구,"127,339.5 ㎡",신정동 326,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2024.11.08,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3458
목동12단지,정비사업,재건축(공동),양천구,"127,339 ㎡",신정동 326 일대,"제1종,제3종일반","제1종,제3종일반",299.99%,50%,43층이하,145,"2,810세대","2,443",367,13.06%,재건축(공동),서남권,구역지정,2025.03.13,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3458
목동13단지,정비사업,재건축(공동),양천구,"178,919 ㎡",신정동 327 일대,"제1종,제3종일반","제1종,제3종일반",30%,50%,49층이하,156,"3,852세대","3,284",568,14.75%,재건축(공동),서남권,구역지정,2025.03.13,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3458
목동13단지,정비사업,신속통합기획,양천구,"178,919.9 ㎡",신정동 327,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2024.10.30,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3458
목동14단지,정비사업,신속통합기획,양천구,"250,722 ㎡",신정동 331,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2024.11.05,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3458
목동14단지,정비사업,재건축(공동),양천구,"250,722.1 ㎡",신정동 329 일대,"제1종,제3종일반","제1종,제3종일반",300%,50%,49층이하,180,"5,123세대","4,394",729,14.23%,재건축(공동),서남권,구역지정,2025.03.06,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3458
