순번,자치구,구역명,위치,공공/민간,일반/재촉지구,사업유형,사업추진단계,기존 가구수(멸실량),최초,변경(최종),추진위원회,조합설립인가(사업시행자 지정일),건축심의,사업시행인가_최초,사업시행인가_변경(최종),관리처분계획인가_최초,관리처분계획인가_변경(최종),이주시작일,이주종료일,착공,세대총합계,분양,임대
140,동대문구,청량리8,청량리동 435,민간,일반,주택정비형 재개발,사업시행,381,2010-11-25,2023-09-07,2006-01-09,2018-07-11,2022-04-26,2024-07-11,,,,,,,610,460,150
144,동대문구,신설1,신설동 92-5,공공,일반,주택정비형 재개발,사업시행,206,2008-10-30,2024-08-08,,2021-07-22,2024-08-20,2025-03-20,,,,,,,299,189,110
151,동대문구,전농9,전농동 103-236,공공,일반,주택정비형 재개발,조합설립,884,2023-06-29,2023-06-29,2007-07-04,2023-07-13,,,,,,,,,"1,159",920,239
153,동대문구,휘경5,휘경동 43-8,민간,일반,주택정비형 재개발,구역지정,459,2023-06-22,,,,,,,,,,,,634,594,40
326,동작구,노량진3,노량진동 232-19,민간,재촉,주택정비형 재개발,사업시행,"1,038",2009-12-10,2009-12-10,2010-06-03,2017-12-29,2018-09-11,2021-02-26,,,,,,,"1,012",838,174
327,동작구,노량진1,노량진동 278-2,민간,재촉,주택정비형 재개발,사업시행,"5,340",2009-12-10,2023-01-26,2011-07-29,2017-11-10,2021-06-08,2023-03-09,2023-03-07,,,,,,"2,992","2,461",531
328,동작구,노량진6,노량진동 294-220,민간,재촉,주택정비형 재개발,관리처분,"1,387",2009-12-10,2023-10-12,2010-03-25,2011-03-17,2017-10-24,2014-09-01,2024-10-22,2021-01-25,2021-01-25,2021-06-01,2023-02-17,,"1,499","1,237",262
329,동작구,노량진5,노량진동 270-3,민간,재촉,주택정비형 재개발,관리처분,662,2009-12-10,2009-12-10,2010-02-26,2016-02-11,2019-05-28,2021-02-26,,2023-09-25,,2024-04-22,2025-03-31,,727,597,130
330,동작구,노량진2,노량진동 312-75,민간,재촉,주택정비형 재개발,관리처분,283,2009-12-10,2023-01-26,2010-02-05,2010-06-24,2024-01-09,2014-08-08,2019-07-11,2021-03-08,2021-03-08,2021-09-01,2022-06-30,,404,299,105
331,동작구,노량진4,노량진동 227-121,민간,재촉,주택정비형 재개발,관리처분,800,2009-12-10,2009-12-10,2010-06-29,2015-04-02,2017-06-13,2018-04-30,2023-05-30,2022-12-19,,2023-12-12,2024-08-31,,840,693,147
332,동작구,노량진8,대방동 23-61,민간,재촉,주택정비형 재개발,관리처분,"1,176",2010-06-03,2023-05-18,2010-07-13,2011-11-14,2017-08-01,2018-09-19,2025-01-10,2021-12-29,2021-12-29,2022-09-26,2024-11-22,,987,815,172
333,동작구,노량진7,대방동 13-31,민간,재촉,주택정비형 재개발,관리처분,599,2010-06-03,2010-06-03,2011-06-03,2013-02-07,2015-08-18,2017-06-09,2024-02-01,2024-05-09,,2024-11-01,2025-12-31,,576,478,98
334,동작구,흑석1,흑석동 43-7,민간,재촉,주택정비형 재개발,조합설립,493,2008-09-11,2008-09-11,2009-01-15,2022-03-31,,,,,,,,,0,0,0
335,동작구,흑석9,흑석동 90,민간,재촉,주택정비형 재개발,관리처분,"1,906",2009-09-11,2024-06-27,2005-06-20,2013-03-28,2024-04-09,2017-11-29,2024-11-08,2019-10-23,2024-01-11,2022-08-18,2023-02-18,,"1,540","1,278",262
337,동작구,흑석11,흑석동 304,민간,재촉,주택정비형 재개발,관리처분,"1,829",2012-07-26,2012-07-26,2014-07-28,2015-12-01,2020-06-23,2021-03-25,,2022-08-18,2023-06-14,2022-11-24,2024-01-08,,"1,522","1,262",260
336,동작구,흑석2,흑석동 99-3,공공,재촉,도시정비형 재개발,조합설립,390,2008-09-11,2008-09-11,2009-03-04,2021-09-13,,,,,,,,,"1,012",660,352
254,마포구,공덕6,공덕동 119,민간,일반,주택정비형 재개발,사업시행,85,2010-03-04,2019-01-03,2004-07-20,2021-03-16,2022-07-22,2024-06-20,,,,,,,166,155,11
255,마포구,공덕7,공덕동 115-97,민간,일반,주택정비형 재개발,구역지정,453,2024-05-30,2024-05-30,,,,,,,,,,,703,597,106
256,마포구,공덕8,공덕동 11-24,민간,일반,주택정비형 재개발,구역지정,973,2024-12-05,2024-12-05,,,,,,,,,,,"1,564","1,258",306
237,마포구,신촌지역(마포)4-10,노고산동 109-62,민간,일반,도시정비형 재개발,사업시행,178,2014-08-28,2024-07-04,,,2024-03-04,2024-09-12,,,,,,,296,247,49
238,마포구,신촌지역(마포)4-12,노고산동 106-46,민간,일반,도시정비형 재개발,사업시행,7,2014-08-28,2023-10-19,,,2024-02-13,2025-02-13,,,,,,,216,159,57
239,마포구,신촌지역(마포)4-15,노고산동 107-46,민간,일반,도시정비형 재개발,착공,4,2014-08-28,2021-02-18,,,2021-05-11,2021-08-26,2022-03-17,,,2021-09-01,2022-02-27,2022-03-17,299,256,43
240,마포구,신촌지역(마포)4-1,노고산동 107-2,민간,일반,도시정비형 재개발,사업시행,0,2014-08-28,2023-10-19,,,2023-12-12,2025-02-13,,,,,,,133,107,26
241,마포구,신촌지역(마포)1-2,노고산동 49-29,민간,일반,도시정비형 재개발,착공,0,2014-08-28,2021-02-15,,,2021-03-11,2021-09-02,2021-09-02,2021-12-02,,2021-12-02,2022-01-30,2022-02-15,98,0,98
