field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23,field24,field25,field26,field27,field28,field29,field30,field31,field32,field33,field34,field35,field36,field37,field38,_GC_TYPE,_CLEANADDR,_X,_Y
11470-900001147,기존구역(신통추진),양천구,신정동,조합,신정동 1152-1,조합설립인가,운영,445,신정동 1152번지 일대 주택정비형 재개발사업,양천구 신정동 1152-1,44082.8,,제1종일반주거지역 / 제2종일반주거(7층이하)지역,해당없음,40507.8,139.3,3435.7,,,,,공동주택 및 부대복리시설,60,212.78,84,15,,956,406,466,84,121,48,36,37,,시행준비단계,정,서울특별시 양천구 신정동 1152-1,126.85204349512655,37.51591146523108
11290-100014002,,성북구,길음동,조합,길음동 542-1,일반분양승인,운영,180,길음역세권재정비촉진구역 주택재개발정비사업조합,성북구 길음동 542-1번지,13449,75303.87,준주거지역 제3종일반주거지역,중심미관지구,13449,1850,1280,,,,,공동주택 및 판매/교육연구,52.61,399.59,110,35,5,276,72,97,107,63,24,24,15,,완료단계,정,서울특별시 성북구 길음동 542-1,127.02297883490375,37.60369207956118
11590-100005001,,동작구,노량진동,조합,노량진동 294-220,철거신고,운영,812,노량진6재정비촉진구역,동작구 노량진동 294-220번지,73892,197896.86,제3종 일반 주거지역,일반미관지구,49352,7719,7536,,9285,,,아파트 및 부대복리시설,17.37,255.63,8675,28,4,1040,341,601,98,243,103,104,36,,시행단계,정,서울특별시 동작구 노량진동 294-220,126.935021551522,37.508891024119755
11590-100001000,,동작구,노량진동,조합,노량진동 232-19,사업시행인가,운영,586,노량진 제3재정비촉진구역,동작구 노량진동 232-19번지,73300,108105.29,제3종일반주거지역,재정비촉진구역,44300,3242,13697,,,12061,,아파트,24.34,244.03,,,,838,198,443,197,174,80,74,20,,시행단계,정,서울특별시 동작구 노량진동 232-19,126.94051334383275,37.51046630554409
11590-100010000,,동작구,대방동,조합,대방동 13-31,관리처분인가,운영,376,노량진7재정비촉진구역,동작구 대방동 13-31번지,33613,,,,22478,2533.5,6887.6,,890.4,365,,공동주택,20.96,228.97,,,,420,82,268,70,90,44,36,10,,시행단계,정,서울특별시 동작구 대방동 13-31,126.93360243824925,37.50659227786154
11590-100002006,,동작구,흑석동,조합,흑석동 253-89,착공신고,운영,1042,흑석3재정비 촉진구역,흑석동253-89번지 외 808필지,103497.4,168683.95,제12종 일반주거지역,,77410.3,16179.4,9549.4,,4245.9,358.3,1283,공동주택,23.67,244.77,572,20,5,1130,542,552,36,338,156,136,46,,시행단계,정,서울특별시 동작구 흑석동 253-89,126.96082713136865,37.50030847348319
11410-900001337,,서대문구,충정로3가,공공지원자,충정로3가 281-11,정비구역지정,운영,0,충정로1구역 주택정비형 공공재개발사업,서대문구 충정로3가 281-11,7523.1,32005.38,,준주거지역/제3종 일반주거지역,7112.5,201.9,,,208.7,,,공동주택,31.21,449.99,100,30,4,196,84,83,29,101,37,,64,,계획단계,정,서울특별시 서대문구 충정로3가 281-11,126.96443501176151,37.56090398616838
11590-100005006,,동작구,노량진동,조합,노량진동 227-5,관리처분인가,운영,417,노량진촉진4구역,노량진 227-5,40512.5,137273.18,제1종 일반주거지역 제2종 일반주거지역(혼재),,31540.8,5554.7,1508,,,,1909,공동주택 및 부대복리시설,22.82,247.48,90,30,5,699,338,361,,145,58,64,23,,시행단계,정,서울특별시 동작구 노량진동 227-5,126.9418500107845,37.50765092687683
11590-100009000,,동작구,대방동,조합,대방동 23-61,관리처분인가,운영,437,노량진8 재정비촉진구역 주택재개발정비사업조합,동작구 대방동 23-61번지,55832.9,154331.84,2종일반주거지역 2종일반주거(7층이하),-,42080.9,11514,0,0,1453,785,,공동주택,20.08,229.44,300,29,3,1007,497,462,48,172,80,70,22,0,시행단계,정,서울특별시 동작구 대방동 23-61,126.93216750975438,37.51144732884046
11560-900001056,2차선정구역,영등포구,대림동,공공지원자,대림동 855-1,정비구역지정,운영,314,대림1구역,대림동 855-1,42505,,,,,,,,,,,,,,,,,0,,,,0,,,,,계획단계,정,서울특별시 영등포구 대림동 855-1,126.90333266668883,37.49357890933607
11110-900001275,1차선정구역,종로구,창신동,공공지원자,창신동 23-2,정비구역지정,운영,335,창신동 23일대 주택정비형 재개발사업,종로구 창신동 23-2,64822.4,165994.04,제1종 일반주거지역 / 제2종 일반주거지역(7층 이하) / 제2종 일반주거지역 / 제3종 일반주거지역,해당없음,47244.8,7535.7,10041.9,,,,,공동주택 및 부대복리시설,28.27,214.65,125,28,7,879,338,421,120,159,62,81,16,,계획단계,정,서울특별시 종로구 창신동 23-2,127.01372649154357,37.57684911333228
11620-100003010,,관악구,봉천동,조합,봉천동 480,사업시행인가,운영,493,관악구 봉천동 4-1-3구역 주택재개발 정비사업,관악구 봉천동 480번지,79832,160576.78,제2종 일반주거지역(7층) 제3종 일반주거지역,,35303.1,948.8,,3999.8,,,985,공동주택 및 부대복리시설 등,27.36,259.53,83,28,3,694,314,274,106,161,46,81,34,,시행단계,정,서울특별시 관악구 봉천동 480,126.94793207480704,37.48971938535563
11290-900000159,,성북구,성북동,조합,성북동 226-103,사업시행인가,운영,361,성북제2구역주택재개발정비사업,성북동 226-103번지,75072.8,37918.07,제1종 전용주거지역 자연녹지지역,자연경관지구,62469.9,7847.7,4458.9,,296.3,,,공동주택 및 부대복리시설,35.9,89.13,14,4,3,195,61,134,,0,,,,단독주택 별도,시행단계,정,서울특별시 성북구 성북동 226-103,126.99100748906939,37.59318456431448
11200-100002009,기존구역(신통추진),성동구,성수동,조합,성수동1가 72-10,조합설립인가,운영,1332,성수전략정비구역 제1지구,성동구 성수동1가 72-10번지,194398,422268.26,제2종제3종 일반주거지역자연녹지지역,역사문화미관지구,105595,39800,33612,,4115,10528,748,,21.47,309.22,50,,,2414,129,1704,581,495,52,130,313,,시행준비단계,정,서울특별시 성동구 성수동1가 72-10,127.04923498384366,37.53989549581591
11620-900000021,,관악구,봉천동,조합,봉천동 1,사업시행인가,운영,668,봉천제14구역 재개발정비사업,봉천3동 4-51번지 일원,74264.5,148486,제3종일반주거지역,,58782.2,9079.7,5134.1,,1268.5,,,공동주택 등,23.46,270.83,884,27,4,1311,643,560,108,260,95,85,80,1571세대,시행단계,정,서울특별시 관악구 봉천동 4-51,126.95867936759228,37.49012278417498
11710-900001138,,송파구,거여동,조합,거여동 549,조합설립인가,운영,740,거여새마을구역 공공재개발정비사업,송파구 거여동 549-0,71922.4,157508.74,제1종2종(7층)2종 3종일반주거지역 자연녹지지역,,57562.2,5143.7,5500.8,,,,3715.7,공동주택,33.36,282,132,35,2,1186,647,419,120,468,83,91,294,,시행준비단계,정,서울특별시 송파구 거여동 549,127.14844356558311,37.49206075321381
11140-900000749,기존구역(신통추진),중구,신당동,조합,신당동 236-100,조합설립인가,운영,765,신당제10구역주택재개발정비사업,중구 신당동 236-100,63893.4,230468.45,제2종제3종 일반주거지역 일반상업지역,,47795.1,9989.9,6108.4,,,,,공동주택 및 부대복리시설,28.1,299.8,175,35,3,1107,508,429,170,316,52,77,187,,시행준비단계,정,서울특별시 중구 신당동 236-100,127.01216917651539,37.564270724700826
11710-900000144,,송파구,마천동,조합,마천동 283-,조합설립인가,운영,1601,마천3재정비촉진구역,마천동 283,13493,411564.83,도시지역 제2종일반주거지역,재정비촉진지구 과밀억제권역 등,90211.2,20056,12849.7,0,0,0,1181.33,공동주택 및 근린생활시설 등,22.71,267.85,119,25,5,1969,582,1229,158,395,152,158,85,,시행준비단계,정,경상남도 함양군 마천면 추성리 283,127.69482185357032,35.393273348012954
11710-900000742,,송파구,마천동,조합,마천동 194-1,조합설립인가,운영,1726,마천1재정비촉진구역 주택재개발정비사업,송파구 마천동 194-1,148498,2964338.23,제1종일반주거지역제2종(7층)일반주거지역제2종일반주거지역,3-1(제1종 일반주거)/3-23-3(제2종 일반주거),109590.5,24924.5,8952,,1991,,3040,공동주택/부대복리시설,25.61,217.59,100,25,3,2018,923,851,244,395,296,99,,,시행준비단계,정,서울특별시 송파구 마천동 194-1,127.15346651806698,37.4980845396213
11740-900001290,,강동구,천호동,조합,천호동 467-61,조합설립인가,운영,216,천호 A1-1구역 공공재개발 정비사업,강동구 천호동 467-61,26549,,제3종일반주거지역,,26548.97,5389.25,0,0,0,0,21159.72,공동주택 및 부대복리시설,50,359.94,125,40,,480,189,213,78,267,40,,227,,시행준비단계,정,서울특별시 강동구 천호동 467-61,127.11960081965472,37.54143757196
11260-900001189,1차선정구역,중랑구,면목동,조합,면목동 69-14,조합설립인가,운영,646,면목7구역 주택정비형 재개발사업,중랑구 면목동 69-14,58400.9,238433.17,제2종일반주거지역(7층이하) 제2종일반주거지역 제3종일반주거지역,해당사항 없음,50710.4,1960.5,4400,0,1330,0,0,공동주택(아파트) 및 부대복리시설,24.15,299.87,,35,3,1068,482,420,166,379,73,,306,,시행준비단계,정,서울특별시 중랑구 면목동 69-14,127.092886238247,37.5870964644513
11380-100001059,,은평구,수색동,조합,수색동 189,일반분양승인,운영,234,수색7재정비촉진구역 주택재개발정비사업조합,은평구 수색동 189,31793.6,100411.08,제2종일반주거지역(7층),제2종일반주거지역,25362,5357.6,270,758,,46,,공동주택(아파트),22.31,249,63,22,3,537,180,357,,112,45,45,22,,완료단계,정,서울특별시 은평구 수색동 189,126.89830859218391,37.58474541338985
11200-100002013,,성동구,금호동,조합,금호동4가 235-,조합해산,일시중단,477,금호제14주택재개발구역,성동구 금호동4가 235,33291,101029.67,제2종일반주거지역,,28182,2119.5,1681.8,647,,,,아파트,22.46,225.44,45,15,2,586,271,257,58,121,121,,,,완료단계,정,서울특별시 성동구 금호동4가 235,127.02406990404948,37.54611729569513
11410-100008007,,서대문구,북아현동,조합,북아현동 3-66,사업시행인가,운영,2536,북아현3 재정비촉진구역 주택재개발 정비사업조합,서대문구 북아현동 3-66번지,263100,619750.57,제2종일반주거지역,도시재정비촉진지구,180952.6,33481.6,36611.1,10,7476,139,4444,공공주택 및 부대복리시설,16.28,233.15,103,35,6,3015,534,1831,650,618,273,265,80,,시행단계,정,서울특별시 서대문구 북아현동 3-66,126.9579489802071,37.56342239673977
11500-900001312,,강서구,등촌동,조합,등촌동 649,조합설립인가,운영,45,등촌649 소규모재개발사업,강서구 등촌동 649번지 외 7필지,1608,10321.47,도시지역 준주거지역(기존:제3종 일반주거지역),,1608,,,,,,,공동주택,37.63,429.21,6,19,3,66,66,,,19,,,19,조합원(44)+일반(22),시행준비단계,정,서울특별시 강서구 등촌동 649,126.86226336367945,37.552909564635755
11590-100002004,,동작구,흑석동,조합,흑석동 43-7,조합설립인가,운영,210,흑석1재정비촉진구역,동작구 흑석동 43-7번지,26675,82260.2,제1종일반 제2종일반(7층) 제2종 일반 제3종 일반,,18165,6122,2388,,,,,공동주택및주민공동시설,39.1,294.17,,30,2,392,202,102,88,82,36,36,10,,시행준비단계,정,서울특별시 동작구 흑석동 43-7,126.96511956805122,37.50704389008229
11590-100005002,,동작구,노량진동,조합,노량진동 270-3,관리처분인가,운영,409,노량진5 재정비촉진구역 주택재개발정비사업조합,노량진동 270-3,38017,118672.22,제1종3종 일반주거지역,,29584.5,6968.5,1464,,,,,공동주택 및 부대복리시설,18.57,270.63,90,28,5,515,80,250,185,108,45,48,15,,시행단계,정,서울특별시 동작구 노량진동 270-3,126.93503746737633,37.51188532833898
11170-900000973,1차선정구역,용산구,청파동,공공지원자,청파동1가 89-18,정비구역지정,운영,1400,청파제2구역,청파동1가 89-18,82558.4,,,,,,,,,,,,,,,,,0,,,,0,,,,,계획단계,정,서울특별시 용산구 청파동1가 89-18,126.96723976734715,37.548408998608934
11560-900000711,,영등포구,신길동,조합,신길동 39-3,조합설립인가,운영,384,신길역세권 공공임대주택 건립관련 재개발사업,영등포구 신길동 39-3,29080,141731.96,제2종일반주거지역준주거지역일반상업지역,한강로지구,21051.5,2418.8,1263.7,,,,755.5,공동주택판매시설등,51.97,454.72,115,,,571,240,331,,428,,232,196,,시행준비단계,정,서울특별시 영등포구 신길동 39-3,126.91537698028449,37.516218143371724
11620-100004000,,관악구,신림동,조합,신림동 316-55,준공인가,운영,274,신림3재정비촉진구역,관악구 신림동 316-55,35136.4,79157.74,제1종제2종(7층)일반주거지역자연녹지지역,,22463.3,4078.5,7295.3,,,,1299.3,공동주택 및 부대복리시설,23.25,233.7,,17,4,473,225,248,,98,42,42,14,,완료단계,정,서울특별시 관악구 신림동 316-55,126.93332616598724,37.46091460716471
11590-100005005,,동작구,노량진동,조합,노량진동 312-75,철거신고,운영,146,노량진2재정비촉진구역,동작구 노량진동 312-75번지,16213,83746.91,준주거지역,재정비촉진지구,12111,4102,,,,,,공동주택판매시설 커뮤니트 지원시설,49.88,408.56,155,45,4,299,79,179,41,105,,,105,,시행단계,정,서울특별시 동작구 노량진동 312-75,126.93923841417528,37.50746568781045
11710-900000539,,송파구,마천동,조합,마천동 323-,관리처분인가,운영,706,마천4 재정비촉진구역 주택재개발정비사업조합설립(변경)인가서,마천동 323번지 일대,60080.8,216698.43,1종일반주거 2종(7층) 제3종 일반주거지역,주거지역,60080.8,9740.8,,1501.2,1407.1,0,2078.8,아파트,21.23,298.6,101,33,3,1065,452,581,32,307,104,142,61,,시행단계,정,경상남도 함양군 마천면 추성리 323,127.6950287963441,35.388096902106646
11740-900000983,,강동구,천호동,조합,천호동 397-419,조합설립인가,운영,216,천호동 397-419번지 일대 주택정비형 재개발구역,강동구 천호동 397-419,1929.2,66889.83,제2종일반주거지역,해당없,1925.6,3.63,,,,,,공동주택 및 부대복리시설,24.72,215.39,72,23,3,324,124,192,8,58,20,10,28,설계업체 및 도시계획업체 선정 시 추가 기재토록 함,시행준비단계,정,서울특별시 강동구 천호동 397-419,127.13205993335154,37.541878098739765
11620-100004002,,관악구,신림동,조합,신림동 324-25,철거신고,운영,714,신림2재정비촉진구역 주택재개발정비사업조합,관악구 신림동 324-25번지,95797.5,138338.55,제2종주거일반지역 자연녹지지역,재정비촉진지구,58241.2,5434.8,22977.5,1105.7,397.5,,7978.9,공동주택,25.16,248.71,7955,28,7,1252,811,357,84,183,57,,126,,시행단계,정,서울특별시 관악구 신림동 324-25,126.93004127027965,37.465673091067146
11710-100002008,,송파구,거여동,조합,거여동 181,조합해산,운영,1123,거여2재정재정비촉진구역1지구 주택재개발 정비사업조합,송파구 거여동 697번지일대,99175.1,284297.12,제3종일반주거지역,일반미관지구,70394.8,12146.9,6230.9,,7066.4,,3336.1,공동택(아파트) 및 부대시설,18.84,274.9,,33,,1577,552,987,38,368,181,141,46,,완료단계,정,서울특별시 송파구 거여동 697,127.14745421461448,37.49599367091326
